"","faretype","cashlove","purpose","income","vehicle","number_of_trips"
"1","ORCA, as pass","0","Home Based Non-Work Trip","medium_high","1",4
"2","ORCA e-purse","0","Home Based Work Trip","medium_high","1",14
"3","ORCA, as pass","0","Home Based Work Trip","medium_low","0",40
"4","ORCA, as pass","0","Home Based Non-Work Trip","medium_low","1",5
"5","ORCA, as pass","0","Home Based Non-Work Trip","medium_low","0",30
"6","ORCA, as pass","0","Home Based Work Trip","lowest","0",45
"7","ORCA e-purse","0","Home Based Work Trip","highest","1",25
"8","ORCA, as pass","0","Home Based Work Trip","medium_low","0",50
"9","ORCA, as pass","0","Home Based Non-Work Trip","lowest","0",11
"10","ORCA e-purse","0","Home Based Non-Work Trip","highest","0",9
"11","ORCA, as pass","0","Home Based Work Trip","highest","1",5
"12","ORCA, as pass","0","Home Based Work Trip","medium_low","1",30
"13","ORCA, as pass","0","Home Based Work Trip","lowest","0",75
"14","Cash","1","Home Based Non-Work Trip","medium_low","1",7
"15","ORCA, as pass","0","Home Based Non-Work Trip","medium_high","1",20
"16","ORCA, as pass","0","Home Based Work Trip","medium_low","0",40
"17","ORCA, as pass","0","Home Based Work Trip","medium_low","1",40
"18","ORCA, as pass","0","Home Based Work Trip","medium_high","1",20
"19","ORCA e-purse","0","Home Based Work Trip","medium_high","1",50
"20","ORCA e-purse","0","Home Based Work Trip","medium_low","1",10
"21","ORCA, as pass","0","Home Based Work Trip","medium_high","1",60
"22","ORCA, as pass","0","Home Based Non-Work Trip","medium_low","1",60
"23","ORCA e-purse","0","Non-home based trip","lowest","1",10
"24","ORCA, as pass","0","Home Based Work Trip","medium_low","0",48
"25","ORCA, as pass","0","Home Based Work Trip","medium_low","1",20
"26","ORCA, as pass","0","Non-home based trip","medium_low","1",20
"27","ORCA e-purse","0","Non-home based trip","medium_high","1",20
"28","ORCA, as pass","0","Home Based Work Trip","highest","1",60
"29","ORCA e-purse","0","Non-home based trip","medium_low","1",36
"30","ORCA, as pass","0","Home Based Work Trip","lowest","0",50
"31","ORCA, as pass","0","Home Based Work Trip","lowest","0",50
"32","ORCA, as pass","0","Home Based Non-Work Trip","medium_low","1",27
"33","ORCA e-purse","0","Home Based Work Trip","highest","0",40
"34","ORCA e-purse","0","Home Based Non-Work Trip","highest","1",7
"35","ORCA e-purse","0","Home Based Work Trip","highest","1",20
"36","ORCA, as pass","0","Home Based Work Trip","medium_low","0",54
"37","ORCA, as pass","0","Non-home based trip","medium_low","0",30
"38","ORCA, as pass","0","Non-home based trip","medium_low","1",30
"39","ORCA, as pass","0","Home Based Work Trip","medium_low","0",16
"40","ORCA e-purse","0","Home Based Non-Work Trip","highest","1",8
"41","ORCA, as pass","0","Home Based Non-Work Trip","lowest","1",30
"42","ORCA e-purse","0","Home Based Work Trip","medium_high","1",36
"43","ORCA e-purse","0","Home Based Work Trip","highest","1",20
"44","ORCA, as pass","0","Home Based Non-Work Trip","medium_high","1",5
"45","ORCA e-purse","0","Home Based Non-Work Trip","highest","0",12
"46","ORCA, as pass","0","Home Based Non-Work Trip","medium_low","1",20
"47","ORCA e-purse","0","Home Based Work Trip","medium_low","1",20
"48","ORCA, as pass","0","Home Based Work Trip","medium_high","1",50
"49","ORCA, as pass","0","Home Based Non-Work Trip","lowest","1",10
"50","ORCA, as pass","0","Home Based Work Trip","medium_low","0",50
"51","ORCA, as pass","0","Home Based Work Trip","highest","1",22
"52","ORCA, as pass","0","Home Based Non-Work Trip","lowest","0",9
"53","ORCA e-purse","0","Home Based Non-Work Trip","medium_low","1",2
"54","ORCA, as pass","0","Non-home based trip","medium_low","1",40
